"marker","transform","n_trees","loo_rmse","loo_mae","loo_r2","baseline_rmse","baseline_mae","baseline_r2"
"16S","clr_1",10000,1.01882262860178,0.820657134453136,-0.0469687095581217,1.12017081576158,0.903357280517212,-0.265625
"16S","clr_0.5",10000,1.02024723348367,0.821826931843112,-0.0498986788697864,1.12017081576158,0.903357280517212,-0.265625
"16S","clr_0.1",10000,1.00504906159816,0.809041982191664,-0.0188519064807118,1.12017081576158,0.903357280517212,-0.265625
"18S","clr_1",10000,1.06407813499169,0.894464990227003,-0.142045945079116,1.12017081576158,0.903357280517212,-0.265625
"18S","clr_0.5",10000,1.06469223119483,0.895272183126284,-0.1433645107535,1.12017081576158,0.903357280517212,-0.265625
"18S","clr_0.1",10000,1.05473303388849,0.885383297049198,-0.122074348010514,1.12017081576158,0.903357280517212,-0.265625
"16S","mean_across_transforms",10000,1.01470630789454,0.817175349495971,-0.0385730983028733,1.12017081576158,0.903357280517212,-0.265625
"18S","mean_across_transforms",10000,1.061167800025,0.891706823467495,-0.13582826794771,1.12017081576158,0.903357280517212,-0.265625
