"marker","transform","n_asv","n_keep_gt0"
"16S","clr_1",674,272
"16S","clr_0.5",674,266
"16S","clr_0.1",674,280
"16S","rclr",674,221
"16S","rclr_optspace",674,352
"16S","pa",674,159
"18S","clr_1",141,46
"18S","clr_0.5",141,46
"18S","clr_0.1",141,42
"18S","rclr",141,39
"18S","rclr_optspace",141,53
"18S","pa",141,32
