"marker","set","n_asv","n_genus"
"16S","all6",25,24
"16S","exact6of6",25,24
"16S","exact5of6",88,66
"16S","ge4of6",211,142
"18S","all6",4,3
"18S","exact6of6",4,3
"18S","exact5of6",13,12
"18S","ge4of6",28,18
