"sample","Observed","Shannon","Location","CorralLetter","Replicate","plastic_concentration","Date","plastic_conc_log","mass_of_PS_g","mass_of_PE_g","mass_of_PET_g","plastic_mass","plastic_mass_log","particles_total_d20","total_mps","plastic_level","Berger_Parker","Week","Corral","Berger_Parker_logit","log10_plastic","sampling_group"
"WS_A_3",95,3.50052034112373,"WS","A","1",24,"3",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.127,"3","A",-1.92774846938101,1.39794000867204,"WS week 3"
"WS_B_3",36,2.20384724425491,"WS","B","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.2338,"3","B",-1.18697718322858,0,"WS week 3"
"WS_C_3",50,2.3978459990677,"WS","C","1",414,"3",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.377,"3","C",-0.502301331339442,2.61804809671209,"WS week 3"
"WS_D_6",65,2.11568966276243,"WS","D","1",29240,"6",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.5366,"6","D",0.146662325993248,4.46599222078431,"WS week 6"
"WS_E_3",87,3.5253555189293,"WS","E","1",100,"3",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.1082,"3","E",-2.109260525781,2.00432137378264,"WS week 3"
"WS_E_6",89,2.3937822789134,"WS","E","1",100,"6",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.2964,"6","E",-0.864500119441471,2.00432137378264,"WS week 6"
"WS_F_3",68,1.41367177505538,"WS","F","1",6,"3",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.7032,"3","F",0.862582835077742,0.845098040014257,"WS week 3"
"WS_F_6",72,2.00431767903488,"WS","F","1",6,"6",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.5354,"6","F",0.141837310749943,0.845098040014257,"WS week 6"
"WS_H_3",54,1.65328259320568,"WS","H","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.5852,"3","H",0.344157192790597,0,"WS week 3"
"WS_I_3",74,1.12830590497485,"WS","I","1",1710,"3",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.8056,"3","I",1.42166944937801,3.2332500095411,"WS week 3"
"WS_I_6",89,2.84368594122346,"WS","I","1",1710,"6",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.2154,"6","I",-1.29267726905316,3.2332500095411,"WS week 6"
"MS_D_9",18,0.213503483878937,"MS","D","1",29240,"10",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,107320,"high",0.9664,"10","D",3.35905176021139,4.46599222078431,"MS week 10"
"MS_E_9",7,0.141081763862054,"MS","E","1",100,"10",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.9752,"10","E",3.67179892499612,2.00432137378264,"MS week 10"
"MS_F_9",26,1.4546694478259,"MS","F","1",6,"10",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,0.16869898216,246.4,"low",0.519,"10","F",0.0760366130601276,0.845098040014257,"MS week 10"
"MS_G_9",31,0.93379748908412,"MS","G","1",7071,"10",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,28.0963418321072,NA,"high",0.793,"10","G",1.34310442836948,3.84954225200502,"MS week 10"
"MS_H_9",28,1.17602630418393,"MS","H","1",0,"10",0,0,0,0,0,0,0.8754408949,1193.92,"none",0.6826,"10","H",0.765746228380298,0,"MS week 10"
"MS_I_9",30,1.73404267343755,"MS","I","1",1710,"10",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,0.896906177567268,NA,"medium",0.4524,"10","I",-0.190978349172328,3.2332500095411,"MS week 10"
"WS_A_9",42,1.1432845242839,"WS","A","1",24,"9",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,0.181396755013605,NA,"low",0.6934,"9","A",0.816063066813209,1.39794000867204,"WS week 9"
"WS_B_9",49,1.97636996739682,"WS","B","1",0,"9",0,0,0,0,0,0,0.0302327925022675,NA,"none",0.4968,"9","B",-0.0128001747669617,0,"WS week 9"
"WS_C_9",52,1.55005587134417,"WS","C","1",414,"9",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,0.060465585,NA,"medium",0.6652,"9","C",0.686554408703452,2.61804809671209,"WS week 9"
"WS_D_9",47,2.09192363111325,"WS","D","1",29240,"9",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,NA,"high",0.4808,"9","D",-0.0768377821688824,4.46599222078431,"WS week 9"
"WS_E_9",36,0.607225456953535,"WS","E","1",100,"9",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.9022,"9","E",2.22191164793352,2.00432137378264,"WS week 9"
