"asv","Genus","transform_a","transform_b","importance_a","importance_b","diff","abs_diff","comparison"
"4908860ec5698faf7d674e649045fca3","Bursaria","clr_1","clr_0.5",0.0307987129678956,0.0304665290988772,0.000332183869018395,0.000332183869018395,"pc = 1 − pc = 0.5"
"16b4cdc34a6e7058c9f5300872db9ee6","Ploimida","clr_1","clr_0.5",0.0272418939826804,0.0263310766875254,0.000910817295155075,0.000910817295155075,"pc = 1 − pc = 0.5"
"06cd53a450c53873d575d2eaa59a9b68","Flosculariacea","clr_1","clr_0.5",0.0243113192682381,0.0237390128173668,0.000572306450871227,0.000572306450871227,"pc = 1 − pc = 0.5"
"4ee497cac87ad5a34b4b2413cf63e127","Flosculariacea","clr_1","clr_0.5",0.0173914716835315,0.0172938901961908,9.75814873407019e-05,9.75814873407019e-05,"pc = 1 − pc = 0.5"
"4bb3924a5ab6ca67ef1a2c68acd8df01","Ophrydium","clr_1","clr_0.5",0.0158329145495672,0.0151211639269809,0.000711750622586297,0.000711750622586297,"pc = 1 − pc = 0.5"
"5c27a470a0be8e3c56f41cad35c5cb83","Leptophrys","clr_1","clr_0.5",0.0122065029098393,0.0150597669498922,-0.00285326404005293,0.00285326404005293,"pc = 1 − pc = 0.5"
"1855ed4ffbfc852ec5697f092cf1b9a9","Chaetosphaeridium","clr_1","clr_0.5",0.0118294514857703,0.0119807261841328,-0.000151274698362538,0.000151274698362538,"pc = 1 − pc = 0.5"
"4b531bb48517bb754f2cc73630f170f5","Stokesia","clr_1","clr_0.5",0.00977138458887664,0.00935175726498005,0.000419627323896591,0.000419627323896591,"pc = 1 − pc = 0.5"
"d71ad38ffb20ceeadb129ca764b8dd68","Flosculariacea","clr_1","clr_0.5",0.00893675694711679,0.0088964394630353,4.03174840814882e-05,4.03174840814882e-05,"pc = 1 − pc = 0.5"
"064c293b111aadbdb84ffdb82867051e","Stenostomidae","clr_1","clr_0.5",0.0074475930578544,0.00724473268399355,0.000202860373860853,0.000202860373860853,"pc = 1 − pc = 0.5"
"a6a60310ff83cecbbb62160fed312064","Monosiga","clr_1","clr_0.5",0.0062466825458338,0.00687764362703945,-0.00063096108120565,0.00063096108120565,"pc = 1 − pc = 0.5"
"fae1597729038425c51240c8b2dc4c2c","Oedogonium","clr_1","clr_0.5",0.00561645911896794,0.00524741376189165,0.00036904535707629,0.00036904535707629,"pc = 1 − pc = 0.5"
"ec37e07df56fb8e6488ebc470ca4d22d","Mallomonas","clr_1","clr_0.5",0.00493990099967908,0.00634540877750021,-0.00140550777782112,0.00140550777782112,"pc = 1 − pc = 0.5"
