"","clr_1","clr_0.5","clr_0.1","rclr","rclr_optspace","pa"
"clr_1",1,0.957446808510638,0.692307692307692,0.307692307692308,0.253164556962025,0.278688524590164
"clr_0.5",0.957446808510638,1,0.692307692307692,0.328125,0.253164556962025,0.278688524590164
"clr_0.1",0.692307692307692,0.692307692307692,1,0.35,0.17283950617284,0.275862068965517
"rclr",0.307692307692308,0.328125,0.35,1,0.226666666666667,0.339622641509434
"rclr_optspace",0.253164556962025,0.253164556962025,0.17283950617284,0.226666666666667,1,0.148648648648649
"pa",0.278688524590164,0.278688524590164,0.275862068965517,0.339622641509434,0.148648648648649,1
