"","clr_0.1","clr_0.5","clr_1","rclr","rclr_optspace"
"clr_0.1",1,0.8625,0.850932,0.229508,0.12749
"clr_0.5",0.8625,1,0.96,0.248588,0.138776
"clr_1",0.850932,0.96,1,0.255682,0.134146
"rclr",0.229508,0.248588,0.255682,1,0.170455
"rclr_optspace",0.12749,0.138776,0.134146,0.170455,1
