"sample","Observed","Shannon","Location","CorralLetter","Replicate","plastic_concentration","Date","plastic_conc_log","mass_of_PS_g","mass_of_PE_g","mass_of_PET_g","plastic_mass","plastic_mass_log","particles_total_d20","total_mps","plastic_level","Berger_Parker","Week","Corral","log10_plastic","Berger_Parker_logit","Endpoint"
"WS_A_3",279,4.76737192626356,"WS","A","1",24,"3",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.0812,"3","A",1.39794000867204,-2.42615322364731,"Wall strip (week 9)"
"WS_A_6",166,2.887431818731,"WS","A","1",24,"6",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.418,"6","A",1.39794000867204,-0.330989015206682,"Wall strip (week 9)"
"WS_B_3",107,2.99326571927147,"WS","B","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.1976,"3","B",0,-1.40136245133396,"Wall strip (week 9)"
"WS_B_6",189,4.23591867780731,"WS","B","1",0,"6",0,0,0,0,0,0,NA,NA,"none",0.1526,"6","B",0,-1.7143527193421,"Wall strip (week 9)"
"WS_C_3",231,4.14478679522476,"WS","C","1",414,"3",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.1218,"3","C",2.61804809671209,-1.97549400285182,"Wall strip (week 9)"
"WS_C_6",318,4.69399031634304,"WS","C","1",414,"6",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.0602,"6","C",2.61804809671209,-2.74799473435394,"Wall strip (week 9)"
"WS_D_3",165,3.02264132426228,"WS","D","1",29240,"3",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.3768,"3","D",4.46599222078431,-0.503152951854331,"Wall strip (week 9)"
"WS_D_6",216,2.64409569123513,"WS","D","1",29240,"6",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.5486,"6","D",4.46599222078431,0.195015714120068,"Wall strip (week 9)"
"WS_E_3",113,1.86611118674568,"WS","E","1",100,"3",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.4452,"3","E",2.00432137378264,-0.220084069039287,"Wall strip (week 9)"
"WS_E_6",263,4.08577140331293,"WS","E","1",100,"6",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.2132,"6","E",2.00432137378264,-1.30574339422321,"Wall strip (week 9)"
"WS_F_3",271,4.16307015622927,"WS","F","1",6,"3",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.118,"3","F",0.845098040014257,-2.01150743154113,"Wall strip (week 9)"
"WS_F_6",259,4.33212807607336,"WS","F","1",6,"6",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.147,"6","F",0.845098040014257,-1.75832696071294,"Wall strip (week 9)"
"WS_G_3",103,2.9329359819672,"WS","G","1",7071,"3",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,NA,NA,"high",0.2644,"3","G",3.84954225200502,-1.02322338475263,"Wall strip (week 9)"
"WS_H_3",241,4.51091132028302,"WS","H","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.082,"3","H",0,-2.41547814335624,"Wall strip (week 9)"
"WS_H_6",271,4.61978241496891,"WS","H","1",0,"6",0,0,0,0,0,0,NA,NA,"none",0.0796,"6","H",0,-2.44779426531087,"Wall strip (week 9)"
"WS_I_3",241,4.27734086915671,"WS","I","1",1710,"3",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.0818,"3","I",3.2332500095411,-2.41813798820642,"Wall strip (week 9)"
"WS_I_6",354,4.64739529176161,"WS","I","1",1710,"6",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.0844,"6","I",3.2332500095411,-2.3840121864765,"Wall strip (week 9)"
"MS_A_9",532,5.36684371205878,"MS","A","1",24,"10",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,0.181396755013605,NA,"low",0.054,"10","A",1.39794000867204,-2.8632585224876,"Microscope slide (week 10)"
"MS_B_9",440,5.25741598173789,"MS","B","1",0,"10",0,0,0,0,0,0,0.0302327925022675,NA,"none",0.053,"10","B",0,-2.88300717963396,"Microscope slide (week 10)"
"MS_C_9",473,5.19336065489877,"MS","C","1",414,"10",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,0.060465585,1234.464,"medium",0.056,"10","C",2.61804809671209,-2.82477447541035,"Microscope slide (week 10)"
"MS_D_9",561,5.36431970059896,"MS","D","1",29240,"10",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,107320,"high",0.045,"10","D",4.46599222078431,-3.05504885071041,"Microscope slide (week 10)"
"MS_E_9",421,5.02708439419923,"MS","E","1",100,"10",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.059,"10","E",2.00432137378264,-2.76940569567966,"Microscope slide (week 10)"
"MS_F_9",559,5.47556246849816,"MS","F","1",6,"10",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,0.16869898216,246.4,"low",0.037,"10","F",0.845098040014257,-3.2591354991539,"Microscope slide (week 10)"
"MS_G_9",514,5.36441005957807,"MS","G","1",7071,"10",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,28.0963418321072,NA,"high",0.0358,"10","G",3.84954225200502,-3.29335084856487,"Microscope slide (week 10)"
"MS_H_9",452,4.9429375036568,"MS","H","1",0,"10",0,0,0,0,0,0,0.8754408949,1193.92,"none",0.0926,"10","H",0,-2.28229422557773,"Microscope slide (week 10)"
"MS_I_9",431,5.03016071401311,"MS","I","1",1710,"10",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,0.896906177567268,NA,"medium",0.0552,"10","I",3.2332500095411,-2.8400103116001,"Microscope slide (week 10)"
"WS_A_9",321,5.00402874354411,"WS","A","1",24,"9",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,0.181396755013605,NA,"low",0.093,"9","A",1.39794000867204,-2.27754295696188,"Wall strip (week 9)"
"WS_B_9",375,4.78552270771742,"WS","B","1",0,"9",0,0,0,0,0,0,0.0302327925022675,NA,"none",0.1306,"9","B",0,-1.89566410171236,"Wall strip (week 9)"
"WS_C_9",458,5.35739182692355,"WS","C","1",414,"9",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,0.060465585,NA,"medium",0.0386,"9","C",2.61804809671209,-3.21513827898908,"Wall strip (week 9)"
"WS_D_9",413,4.95866151628206,"WS","D","1",29240,"9",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,NA,"high",0.1414,"9","D",4.46599222078431,-1.80371040232799,"Wall strip (week 9)"
"WS_E_9",309,4.79023604358284,"WS","E","1",100,"9",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.0872,"9","E",2.00432137378264,-2.34831246763293,"Wall strip (week 9)"
"WS_F_9",350,5.10746510891961,"WS","F","1",6,"9",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,0.16869898216,NA,"low",0.0408,"9","F",0.845098040014257,-3.15741752230319,"Wall strip (week 9)"
"WS_G_9",414,5.09843960526326,"WS","G","1",7071,"9",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,28.0963418321072,NA,"high",0.1284,"9","G",3.84954225200502,-1.9151802118146,"Wall strip (week 9)"
"WS_H_9",427,5.39810959391289,"WS","H","1",0,"9",0,0,0,0,0,0,0.8754408949,NA,"none",0.0218,"9","H",0,-3.80380417831021,"Wall strip (week 9)"
