"asv","Genus","transform_a","transform_b","importance_a","importance_b","diff","abs_diff","comparison"
"4908860ec5698faf7d674e649045fca3","Bursaria","clr_1","clr_0.5",0.0394906247484158,0.0386874212164687,0.000803203531947058,0.000803203531947058,"pc = 1 − pc = 0.5"
"16b4cdc34a6e7058c9f5300872db9ee6","Ploimida","clr_1","clr_0.5",0.027584522278071,0.0250522793611758,0.00253224291689513,0.00253224291689513,"pc = 1 − pc = 0.5"
"06cd53a450c53873d575d2eaa59a9b68","Flosculariacea","clr_1","clr_0.5",0.0205223828968992,0.020147199291032,0.00037518360586726,0.00037518360586726,"pc = 1 − pc = 0.5"
"d71ad38ffb20ceeadb129ca764b8dd68","Flosculariacea","clr_1","clr_0.5",0.0101193895639981,0.0102446102932834,-0.000125220729285318,0.000125220729285318,"pc = 1 − pc = 0.5"
"4ee497cac87ad5a34b4b2413cf63e127","Flosculariacea","clr_1","clr_0.5",0.00892980590480372,0.00901401871413262,-8.42128093288975e-05,8.42128093288975e-05,"pc = 1 − pc = 0.5"
"1855ed4ffbfc852ec5697f092cf1b9a9","Chaetosphaeridium","clr_1","clr_0.5",0.00821024000619122,0.00821024000619122,0,0,"pc = 1 − pc = 0.5"
"97297518574a421782aaa957d916d231","Cyrtolophosis","clr_1","clr_0.5",0.00681836742104605,0.00779160819931906,-0.000973240778273018,0.000973240778273018,"pc = 1 − pc = 0.5"
"5c27a470a0be8e3c56f41cad35c5cb83","Leptophrys","clr_1","clr_0.5",0.00621147618838627,0.00772570611676619,-0.00151422992837992,0.00151422992837992,"pc = 1 − pc = 0.5"
"1a9803628905c37499e7d015e31aeacf","Hazenia","clr_1","clr_0.5",0.00558406902963726,0.00521291266258007,0.000371156367057194,0.000371156367057194,"pc = 1 − pc = 0.5"
"a6a60310ff83cecbbb62160fed312064","Monosiga","clr_1","clr_0.5",0.00373481568100496,0.00327759566679203,0.000457220014212929,0.000457220014212929,"pc = 1 − pc = 0.5"
"6ef916712714691608f37f2d7128eb0a","Chaetosphaeridium","clr_1","clr_0.5",0.00356072460721106,0.00301549278526703,0.000545231821944023,0.000545231821944023,"pc = 1 − pc = 0.5"
