ASV	WS_A_3	WS_A_6	WS_B_3	WS_B_6	WS_C_3	WS_C_6	WS_D_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_3	WS_G_6	WS_H_3	WS_H_6	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
9867d9e68cb6dc4fe6ca06ca0b4c39ac	0	0	0	0	0	3	0	2	0	6	0	12	0	3	0	0	0	25	98	0	132	799	413	1321	307	50	0
e990c276fbc1c79a05390fbf6840daf2	196	251	63	75	174	134	24	123	61	79	478	73	0	0	25	71	621	341	25	0	113	33	46	21	51	24	49
88c23bd082838cabb64b85dc21886ef7	6	0	0	0	12	85	0	18	0	25	22	24	0	2	109	91	276	28	784	173	11	23	9	439	60	878	6
f34cdcd73e535507d29c29b19d01f658	143	0	0	0	116	69	86	0	34	40	425	74	20	45	64	102	0	93	44	82	539	85	59	260	101	243	261
5da845af2892f5c8fd8161364c7b4997	21	0	0	23	17	583	0	46	0	73	76	209	0	16	47	428	30	299	120	193	183	17	19	134	36	270	124
b20a5bb96396ea08495298fc1a90c26b	175	68	14	0	330	99	73	55	0	195	721	71	28	0	73	219	208	234	0	0	46	122	130	0	37	0	34
624525b8f52b87a714169e8d530f6850	0	20	0	32	0	11	0	16	0	65	0	9	0	12	0	0	0	115	90	93	207	279	326	71	562	796	187
2500422919f98bed627f3fd491e508a8	0	0	2124	0	27	5	0	0	0	0	571	72	9	0	9	10	24	12	0	0	0	0	0	0	0	0	0
c817f85fb612001af524979afb37eaeb	209	90	12	70	302	88	74	92	29	79	379	31	0	19	142	65	71	164	15	0	50	268	175	29	234	47	72
d75f55d79ddfd5fbd4f8fb2edec3674c	332	105	0	0	210	83	0	0	0	47	949	0	67	0	457	134	263	104	0	0	0	0	0	0	0	0	0
fc24096138e3cf0b2775bd2b8e01b5b2	12	0	22	3	155	12	0	3	1715	12	112	10	464	0	42	6	130	7	0	5	4	0	3	5	0	8	7
cb5268128d9112a2b23b6ad5a045483b	0	13	0	6	0	12	0	8	0	46	0	6	0	0	0	18	0	33	268	34	132	146	316	448	767	157	90
4078fc5ccccbf133e10b6bf4f6461c02	0	0	0	8	0	0	0	0	0	4	0	13	0	14	0	5	0	12	81	814	203	152	137	144	130	127	593
51af2c92d5b41fee1ef860eb59eee9d7	1437	0	30	16	27	7	509	16	44	10	35	0	0	0	34	25	36	10	14	45	0	0	0	29	0	59	47
43f8d1ced946461f54ea0b5b7001d5d6	16	31	0	56	20	131	0	41	28	63	102	69	0	10	79	132	111	135	43	258	305	194	51	52	79	72	239
3e125655918e305a3842a79b6972775f	0	0	0	37	12	50	0	67	9	31	27	123	0	11	0	150	17	223	47	154	587	66	49	49	70	170	259
9a3be006a5dfc46489393ec80f0f5e2e	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	114	444	211	354	151	155	231	110	418
08e95f8aadda45f7fa04b997b0579b10	0	0	0	60	0	20	7	6	0	56	15	6	0	27	10	14	11	43	182	527	199	147	138	50	138	36	456
095dcca0a1cacb655451100eb59c8ef1	612	0	16	0	403	0	13	0	6	3	934	0	0	0	73	0	42	13	0	0	0	0	0	0	0	0	0
02b4cbe5c2955ab2f66dc82cdf6dad64	45	78	0	30	116	83	0	111	0	311	143	41	0	43	26	66	50	72	57	0	181	72	164	44	60	68	89
864b870f5f1dfbc5eb364d9eb01af3b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	127	51	804	203	31	140	0	494
