ASV	WS_A_3	WS_A_6	WS_B_3	WS_C_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_6	WS_H_3	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
bdca94b6bea8d4c2ee8b0522bb2139ab	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f56c618a8e5632caa06b385eb952961	4	0	0	0	53	4	158	0	34	0	924	5	0	0	26	3	0	0	0	35	0	11
33d3e1c0239c88dccae457ccc86baff2	52	0	8	51	52	31	64	0	113	18	220	191	227	12	17	55	19	9	0	51	8	36
267ef75dbcd958ae5bff81c3bf49e979	0	0	0	0	39	0	154	0	84	39	0	0	21	207	136	25	34	44	108	80	32	183
8dd3ad23ba87543619d8d2717525dfe8	0	0	0	0	319	0	270	0	199	51	0	0	208	0	0	0	0	61	0	31	0	0
c9e392495ce4479cf93676654f6c76fe	611	0	0	0	0	488	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eee3f682e4a4a2cfe259cedb64840e5d	0	0	0	0	0	0	0	0	0	0	0	0	0	283	173	0	0	0	155	41	459	0
58490c06fdba9d067208579ebfe20ed8	0	0	0	0	195	0	261	0	192	108	0	0	220	0	0	0	0	71	0	31	0	0
5ff21cc4d35444edc3b53f9d7db8dca1	0	0	0	0	0	0	140	0	144	0	0	0	92	61	101	33	128	33	34	134	23	143
06cd53a450c53873d575d2eaa59a9b68	0	0	0	0	0	0	28	0	0	0	0	0	0	80	17	0	288	79	44	349	106	69
a29b203213aabc4a14219594aade14f3	0	0	0	0	0	0	55	0	34	32	0	0	10	0	488	49	10	0	0	0	19	345
78fef025a72cc2e1197a7f8c26614818	14	0	0	0	61	12	130	0	214	33	0	0	315	7	38	37	8	8	6	128	0	29
b6fdd9425922b6af4320f896a73eebb0	531	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
f146f2eebf81ef58766a9930ed95caeb	38	0	0	53	65	34	0	552	11	29	53	103	25	0	0	9	0	3	10	0	0	34
b08e16284f6df97174fc3a82cdc1e4ed	111	0	0	155	0	93	0	617	9	0	11	0	0	0	0	0	0	0	15	0	0	0
aae1f2a7fff7bc091d9bb0eed1ef5379	74	0	0	39	0	90	5	433	0	0	122	216	0	0	0	0	0	0	0	0	0	0
d7f9f7ea9999d826f2ad64a0cb5a20e2	0	0	0	0	0	0	42	0	0	0	0	0	0	34	521	0	0	153	178	14	0	8
53b24dc2fa1f4f28e73ba10af8857f06	0	0	0	0	0	0	163	0	0	0	0	0	25	0	19	17	64	406	0	52	18	145
47715f425f88a8a6690bbadba959f43b	297	0	0	17	0	254	0	47	0	0	29	251	0	0	0	0	0	0	3	0	0	0
fd7ae497a98ad8a0fc7a577ab6e3b360	76	0	0	0	0	128	0	0	0	0	20	654	0	0	0	0	0	0	0	0	0	0
c3df3d4c64d9f5c5f63586cdde90fdf3	0	0	0	0	32	0	0	0	807	5	0	0	20	0	0	0	0	0	0	0	0	0
1499561d48bdc3650c9050b772918771	0	0	0	0	91	0	96	22	66	15	36	242	0	91	28	0	0	0	42	22	112	0
c576b0997076d293bc427a48cefb6fcd	15	0	0	20	90	0	254	18	87	111	30	21	152	0	0	15	11	27	0	0	0	8
cd7566def84a3bfa28a5d3068c2e536a	23	0	0	0	53	24	49	0	72	0	397	107	112	0	0	0	0	0	0	0	0	0
2423393b0e504c238656a658012b9834	136	0	0	75	0	151	17	182	0	24	138	40	45	5	3	3	0	0	0	5	0	8
35a60ba843f5ede05de0ab535c7d8fc2	138	0	0	127	29	58	46	69	169	0	58	69	22	5	3	0	0	0	23	0	0	5
c0db71c5481b4d6413cf044d5b99be11	0	0	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cb754b425f00c8d1a9ba6224fee122ac	69	0	0	0	25	99	122	39	126	0	0	39	13	0	0	90	95	13	18	4	0	60
40ac050a9689359edd586ed8d40310f6	0	0	7	0	244	0	90	0	166	0	0	104	111	0	0	11	29	1	6	24	0	19
fb0d7ff5133b5428069fc1d6e1ba8ce6	0	0	0	0	0	0	65	0	0	0	273	332	133	0	0	0	0	0	0	0	0	0
cb135b21169c0e495ca330c060ed2fc9	0	0	0	0	0	0	21	0	0	0	0	0	9	49	20	23	121	41	398	49	4	61
e40a3540c8b6219529f1d7b8d6f40f6a	0	0	0	0	253	0	157	0	108	88	0	0	185	0	0	0	0	0	0	0	0	0
4291a1d277d62e73ace465ef8fb36c6f	0	0	15	8	0	0	169	0	111	108	0	0	362	0	0	0	0	0	0	0	0	0
c749b183ea5b388ea975172b8caa29d2	0	0	404	0	0	0	0	240	0	0	0	77	0	0	0	0	0	0	0	0	0	0
2c66110972c1ca43e4258f255b66829c	0	0	0	0	93	0	209	0	141	104	0	0	171	0	0	0	0	0	0	0	0	0
3bdffc17d1e566c53b7a68b1b12080b5	0	0	0	0	32	0	41	0	354	148	0	0	48	0	0	0	0	0	43	0	0	38
d466c0a68d022c8b4a8efc06806680b8	123	0	111	0	14	157	10	20	22	0	3	67	8	7	71	4	19	6	11	0	0	23
4908860ec5698faf7d674e649045fca3	0	0	0	0	0	0	60	0	65	0	0	0	0	21	19	26	155	21	14	170	12	101
2a7952a38ff4c82408b336662d73a41a	0	0	0	0	0	38	0	262	53	0	0	0	15	0	0	0	0	0	0	0	0	291
86348a411b7d4301bc143ac3dbf90e9e	0	0	0	0	155	0	119	0	183	101	0	0	91	0	0	0	0	0	0	0	0	0
b0478dfc634fa9ac8a9b80022d07f21a	0	0	0	0	92	0	221	0	120	86	0	0	120	0	0	0	0	0	0	0	0	0
a1fe84b646ff8f4b13ce2804dcad5c15	0	0	0	0	29	0	49	0	63	23	22	36	368	8	0	0	0	0	0	13	26	0
f5dd1aba7d4c457c6e96903872717237	118	0	0	63	28	61	52	0	0	0	131	50	84	0	0	9	0	0	0	5	0	30
e78ff40e770af782b4e28a6d60f2f5ae	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	416	0
95b6f4d938d4adfa230dc514b43eda3f	0	0	0	0	0	0	0	0	0	0	0	0	0	67	234	89	173	0	18	4	0	19
b66f18fc4961a501e1b1bbf43d519362	14	0	0	0	0	7	0	63	0	0	0	519	0	0	0	0	0	0	0	0	0	0
f0f6beb26af0084aad027e4811868528	0	0	0	0	0	0	0	0	0	0	0	0	0	59	108	0	90	0	12	0	0	331
6ef916712714691608f37f2d7128eb0a	0	0	0	0	0	0	162	0	34	21	0	0	44	25	19	29	26	31	5	59	51	86
5b33bdb58a920df508ae0135cefa83db	165	0	0	14	0	171	11	74	8	0	3	42	27	0	15	16	4	0	0	0	0	37
f3be943b6528cce6ed323607418f8164	172	0	0	0	0	193	0	2	0	0	3	24	171	0	0	0	0	0	0	0	0	21
bf3d805b69b04b7c8c9aa33ba86d47fa	191	0	3	61	0	205	0	92	0	0	13	0	0	0	0	0	0	0	0	0	0	0
