"","clr_1","clr_0.5","clr_0.1","rclr","rclr_optspace","pa"
"clr_1",1,0.894366197183099,0.730407523510972,0.332432432432432,0.330490405117271,0.290419161676647
"clr_0.5",0.894366197183099,1,0.761290322580645,0.334246575342466,0.331896551724138,0.299694189602446
"clr_0.1",0.730407523510972,0.761290322580645,1,0.31151832460733,0.347547974413646,0.291176470588235
"rclr",0.332432432432432,0.334246575342466,0.31151832460733,1,0.308219178082192,0.241830065359477
"rclr_optspace",0.330490405117271,0.331896551724138,0.347547974413646,0.308219178082192,1,0.188372093023256
"pa",0.290419161676647,0.299694189602446,0.291176470588235,0.241830065359477,0.188372093023256,1
